certificate_no,customer_no,customer_name,city,state,customer_type
23-R-0088,350,MONELL CHEMICAL SENSES CENTER,PHILADELPHIA,PA,RESEARCH FACILITY
23-R-0089,360,COCALICO BIOLOGICALS INC,STEVENS,PA,RESEARCH FACILITY
23-R-0090,361,MAGEE WOMENS RESEARCH INSTITUTE,PITTSBURGH,PA,RESEARCH FACILITY
23-R-0107,366,CALVERT LABORATORIES INC,SCOTT TOWNSHIP,PA,RESEARCH FACILITY
23-R-0114,358,JACKSON IMMUNORESEARCH LABS INC,WEST GROVE,PA,RESEARCH FACILITY
23-R-0122,369,LAMPIRE BIOLOGICAL LABORATORIES INC,PIPERSVILLE,PA,RESEARCH FACILITY
23-R-0124,370,WILSON COLLEGE,CHAMBERSBURG,PA,RESEARCH FACILITY
23-R-0126,371,SUMMIT RIDGE BIOSYSTEMS INC,SUSQUEHANNA,PA,RESEARCH FACILITY
23-R-0133,374,UNIVERSITY OF SCRANTON,SCRANTON,PA,RESEARCH FACILITY
23-R-0134,375,ROCKLAND INC,ROYERSFORD,PA,RESEARCH FACILITY
23-R-0135,376,DELAWARE VALLEY UNIVERSITY,DOYLESTOWN,PA,RESEARCH FACILITY
23-R-0141,373,POCONO RABBIT FARM & LAB INC,CANADENSIS,PA,RESEARCH FACILITY
23-R-0143,380,WEST CHESTER UNIVERSITY,WEST CHESTER,PA,RESEARCH FACILITY
23-R-0153,1773,LEHIGH CARBON COMMUNITY COLLEGE,SCHNECKSVILLE,PA,RESEARCH FACILITY
23-R-0154,9012,ALLEGHENY-SINGER RESEARCH INSTITUTE,PITTSBURGH,PA,RESEARCH FACILITY
23-R-0155,9776,KING'S COLLEGE,WILKES BARRE,PA,RESEARCH FACILITY
23-R-0156,11015,"GEISINGER CLINIC, WEIS CENTER FOR RESEARCH",DANVILLE,PA,RESEARCH FACILITY
23-R-0160,31081,ALBERT EINSTEIN HEALTHCARE NETWORK,PHILADELPHIA,PA,RESEARCH FACILITY
23-R-0162,31006,SLIPPERY ROCK UNIVERSITY,SLIPPERY ROCK,PA,RESEARCH FACILITY
23-R-0166,1688,WILKES UNIVERSITY,WILKES BARRE,PA,RESEARCH FACILITY
23-R-0170,323427,EAST STROUDSBURG UNIVERSITY OF PENNSYLVANIA,EAST STROUDSBURG,PA,RESEARCH FACILITY
23-R-0173,688,INDIANA UNIVERSITY OF PENNSYLVANIA,INDIANA,PA,RESEARCH FACILITY
23-R-0175,324023,MELIOR DISCOVERY INC,EXTON,PA,RESEARCH FACILITY
23-R-0176,329187,Y T I CAREER INSTITUTE,YORK,PA,RESEARCH FACILITY
23-R-0178,331858,AINSWORTH PET NUTRITION LLC,MEADVILLE,PA,RESEARCH FACILITY
23-R-0179,330557,ST JOSEPHS UNIVERSITY,PHILADELPHIA,PA,RESEARCH FACILITY
23-R-0180,332218,DREXEL UNIVERSITY,PHILADELPHIA,PA,RESEARCH FACILITY
23-R-0181,332427,PITTSBURGH CAREER INSTITUTE,PITTSBURGH,PA,RESEARCH FACILITY
23-R-0182,332900,INSTITUTE FOR CANCER RESEARCH,PHILADELPHIA,PA,RESEARCH FACILITY
23-R-0183,333459,THE CORPORATION OF HAVERFORD COLLEGE,HAVERFORD,PA,RESEARCH FACILITY
94-R-0109,960,UNIVERSITY OF PUERTO RICO,SAN JUAN,PR,RESEARCH FACILITY
94-R-0114,325361,UNIVERSIDAD INTERAMERICANA DE PUERTO RICO,BAYAMON,PR,RESEARCH FACILITY
15-R-0002,266,RHODE ISLAND HOSPITAL,PROVIDENCE,RI,RESEARCH FACILITY
15-R-0003,267,BROWN UNIVERSITY,PROVIDENCE,RI,RESEARCH FACILITY
15-R-0004,268,UNIVERSITY OF RHODE ISLAND,KINGSTON,RI,RESEARCH FACILITY
15-R-0010,261,RHODE ISLAND COLLEGE,PROVIDENCE,RI,RESEARCH FACILITY
15-R-0021,33144,VERO SCIENCE LLC,TIVERTON,RI,RESEARCH FACILITY
15-R-0022,327689,NEW ENGLAND INSTITUTE OF TECHNOLOGY,EAST GREENWICH,RI,RESEARCH FACILITY
56-R-0001,925,MEDICAL UNIVERSITY OF SOUTH CAROLINA,CHARLESTON,SC,RESEARCH FACILITY
56-R-0002,926,CLEMSON UNIVERSITY,CLEMSON,SC,RESEARCH FACILITY
56-R-0003,901,UNIVERSITY OF SOUTH CAROLINA,COLUMBIA,SC,RESEARCH FACILITY
56-R-0004,902,TRI-COUNTY TECHNICAL COLLEGE,PENDLETON,SC,RESEARCH FACILITY
56-R-0105,905,ALPHA GENESIS INC,YEMASSEE,SC,RESEARCH FACILITY
56-R-0109,11563,TRIDENT TECHNICAL COLLEGE,CHARLESTON,SC,RESEARCH FACILITY
56-R-0110,10055,TECHNICAL SERVICES SPECIALISTS INC,WALTERBORO,SC,RESEARCH FACILITY
56-R-0112,9968,COLLEGE OF CHARLESTON - RESCH & GRANTS ADMIN,CHARLESTON,SC,RESEARCH FACILITY
56-R-0114,903,BENEDICT COLLEGE,COLUMBIA,SC,RESEARCH FACILITY
56-R-0115,39769,PRESBYTERIAN COLLEGE,CLINTON,SC,RESEARCH FACILITY
56-R-0116,39090,COASTAL CAROLINA UNIVERSITY,CONWAY,SC,RESEARCH FACILITY
56-R-0117,40261,PIEDMONT TECH COLLEGE,GREENWOOD,SC,RESEARCH FACILITY
46-R-0001,1560,UNIVERSITY OF SOUTH DAKOTA,VERMILLION,SD,RESEARCH FACILITY
46-R-0002,1561,SOUTH DAKOTA STATE UNIVERSITY,BROOKINGS,SD,RESEARCH FACILITY
46-R-0003,1559,DLORAH INC.,RAPID CITY,SD,RESEARCH FACILITY
46-R-0007,1738,JERRY L POMMER,CANTON,SD,RESEARCH FACILITY
46-R-0011,329373,SANFORD HEALTH,SIOUX FALLS,SD,RESEARCH FACILITY
46-R-0012,331626,SAB BIOTHERAPEUTICS INC.,SIOUX FALLS,SD,RESEARCH FACILITY
63-R-0001,29,UNIVERSITY OF TENNESSEE - CHATTANOOGA,CHATTANOOGA,TN,RESEARCH FACILITY
63-R-0002,851,MEHARRY MEDICAL COLLEGE,NASHVILLE,TN,RESEARCH FACILITY
63-R-0006,852,UNIVERSITY OF MEMPHIS,MEMPHIS,TN,RESEARCH FACILITY
63-R-0007,845,ST JUDE CHILDRENS RESEARCH HOSPITAL,MEMPHIS,TN,RESEARCH FACILITY
63-R-0011,853,EAST TENNESSEE STATE UNIVERSITY,JOHNSON CITY,TN,RESEARCH FACILITY
63-R-0014,846,COLUMBIA STATE COMMUNITY COLLEGE,COLUMBIA,TN,RESEARCH FACILITY
63-R-0019,847,LINCOLN MEMORIAL UNIVERSITY,HARROGATE,TN,RESEARCH FACILITY
63-R-0105,843,UNIV OF TENNESSEE KNOXVILLE OFF LAB AN CARE,KNOXVILLE,TN,RESEARCH FACILITY
63-R-0107,841,UNIVERSITY OF TENNESSEE - MEMPHIS,MEMPHIS,TN,RESEARCH FACILITY
63-R-0113,1009,MEDICAL EDUCATION & RESEARCH INSTITUTE,MEMPHIS,TN,RESEARCH FACILITY
63-R-0116,17184,NEOTECH LLC,DRESDEN,TN,RESEARCH FACILITY
63-R-0117,999,SEWANEE THE UNIVERSITY OF THE SOUTH,SEWANEE,TN,RESEARCH FACILITY
63-R-0119,37207,UNIVERSITY TENNESSEE - MARTIN,MARTIN,TN,RESEARCH FACILITY
63-R-0120,39091,EAST TENNESSEE CLINICAL RESEARCH INC,ROCKWOOD,TN,RESEARCH FACILITY
63-R-0122,322496,MERIDIAN INSTITUTE FOR SURGICAL ASSISTING,JOELTON,TN,RESEARCH FACILITY
63-R-0123,329240,PLURIS RESEARCH INC,FRANKLIN,TN,RESEARCH FACILITY
63-R-0124,329851,VOLUNTEER STATE COMMUNITY COLLEGE,GALLATIN,TN,RESEARCH FACILITY
63-R-0125,330321,MEMPHIS SPECIALIZED OPERATIONS INC,MEMPHIS,TN,RESEARCH FACILITY
63-R-0126,43010,THE UNIVERSITY OF TENNESSEE - CHATTANOOGA,CHATTANOOGA,TN,RESEARCH FACILITY
63-R-0127,25886,MARS PETCARE U S,FRANKLIN,TN,RESEARCH FACILITY
63-R-0128,334369,TURKEY CREEK BIOTECHNOLOGY LLC,FRANKLIN,TN,RESEARCH FACILITY
63-R-0129,335389,VANDERBILT UNIVERSITY MEDICAL CENTER,NASHVILLE,TN,RESEARCH FACILITY
74-G-0003,334299,SOUTHERN PLAINS AG RESEARCH CENTER,COLLEGE STATION,TX,AGRICULTURE RESEARCH FACILITY
74-R-0003,1512,TEXAS BIOMEDICAL RESEARCH INSTITUTE,SAN ANTONIO,TX,RESEARCH FACILITY
74-R-0008,1519,SCOTT & WHITE MEMORIAL HOSPITAL,TEMPLE,TX,RESEARCH FACILITY
74-R-0011,1382,ALCON RESEARCH LTD.,FORT WORTH,TX,RESEARCH FACILITY
74-R-0012,1499,TEXAS A & M UNIVERSITY,COLLEGE STATION,TX,RESEARCH FACILITY
74-R-0018,1412,BAYLOR COLLEGE OF MEDICINE,HOUSTON,TX,RESEARCH FACILITY
74-R-0020,1458,UNIVERSITY OF HOUSTON,HOUSTON,TX,RESEARCH FACILITY
74-R-0027,1465,TRINITY UNIVERSITY,SAN ANTONIO,TX,RESEARCH FACILITY
74-R-0028,1413,BAYLOR RESEARCH INSTITUTE,DALLAS,TX,RESEARCH FACILITY
74-R-0029,1453,UNIVERSITY OF TEXAS AUSTIN,AUSTIN,TX,RESEARCH FACILITY
74-R-0031,1515,WILLIAM MARSH RICE UNIVERSITY,HOUSTON,TX,RESEARCH FACILITY
74-R-0033,1449,UNIVERSITY OF NORTH TEXAS,DENTON,TX,RESEARCH FACILITY
74-R-0035,1448,WELLMARK INTERNATIONAL,DALLAS,TX,RESEARCH FACILITY
74-R-0037,1478,TEXAS HEART INSTITUTE,HOUSTON,TX,RESEARCH FACILITY
74-R-0039,1411,TEXAS A&M UNIV. HEALTH SCIENCE CENTER,COLLEGE STA,TX,RESEARCH FACILITY
74-R-0040,1482,TEXAS WOMANS UNIVERSITY,DENTON,TX,RESEARCH FACILITY
74-R-0044,1414,BETHYL LABORATORIES INC.,MONTGOMERY,TX,RESEARCH FACILITY
74-R-0046,1501,TEXAS CHRISTIAN UNIVERSITY,FORT WORTH,TX,RESEARCH FACILITY
74-R-0048,1514,TEXAS STATE UNIVERSITY,SAN MARCOS,TX,RESEARCH FACILITY
74-R-0049,1503,STILLMEADOW INC.,SUGAR LAND,TX,RESEARCH FACILITY
74-R-0050,1481,TEXAS TECH UNIVERSITY H S C,LUBBOCK,TX,RESEARCH FACILITY
74-R-0054,1427,CEDAR VALLEY COLLEGE,LANCASTER,TX,RESEARCH FACILITY
74-R-0065,1476,UNIVERSITY OF TEXAS - M.D. ANDERSON CANCER CENTER,HOUSTON,TX,RESEARCH FACILITY
74-R-0066,1472,UNIVERSITY OF TEXAS-DALLAS,RICHARDSON,TX,RESEARCH FACILITY
74-R-0068,1454,UNIVERSITY OF TEXAS,HOUSTON,TX,RESEARCH FACILITY
74-R-0069,1473,UNIVERSITY OF TEXAS- EL PASO,EL PASO,TX,RESEARCH FACILITY
74-R-0070,1474,UNIVERSITY OF TEXAS- SAN ANTONIO,SAN ANTONIO,TX,RESEARCH FACILITY
74-R-0071,1455,UNIVERSITY OF TEXAS,SAN ANTONIO,TX,RESEARCH FACILITY
74-R-0072,1464,UNIVERSITY OF TEXAS,DALLAS,TX,RESEARCH FACILITY
74-R-0073,1469,UNIVERSITY OF TEXAS,GALVESTON,TX,RESEARCH FACILITY
74-R-0075,1452,UNIVERSITY OF TEXAS - ARLINGTON,ARLINGTON,TX,RESEARCH FACILITY
74-R-0078,1477,UNIVERSITY OF TEXAS,TYLER,TX,RESEARCH FACILITY
74-R-0081,1502,UNIVERSITY OF NORTH TEXAS HEALTH SCIENCE CENTER,FORT WORTH,TX,RESEARCH FACILITY
74-R-0094,1497,TEXAS A & M UNIVERSITY-KINGSVILLE,KINGSVILLE,TX,RESEARCH FACILITY
74-R-0099,1510,MARVIN L SHARP D.V.M.,VERNON,TX,RESEARCH FACILITY
74-R-0105,1392,LONE STAR COLLEGE - TOMBALL,THE WOODLANDS,TX,RESEARCH FACILITY
74-R-0124,1360,TEXAS HEALTH RESEARCH & EDUCATION INSTITUTE,DALLAS,TX,RESEARCH FACILITY
74-R-0146,1592,TEXAS PARKS & WILDLIFE DEPARTMENT,HUNT,TX,RESEARCH FACILITY
74-R-0151,1611,CUERO COMMUNITY HOSPITAL,CUERO,TX,RESEARCH FACILITY
74-R-0156,1640,ROBERT L GLASS,HUTTO,TX,RESEARCH FACILITY
74-R-0157,1645,PALO ALTO COLLEGE,SAN ANTONIO,TX,RESEARCH FACILITY
74-R-0167,1821,PROBETEX INC.,SAN ANTONIO,TX,RESEARCH FACILITY
74-R-0173,5404,DAVE SPEAR,DALLAS,TX,RESEARCH FACILITY
74-R-0177,18136,MC LENNAN COMMUNITY COLLEGE,WACO,TX,RESEARCH FACILITY
74-R-0185,37111,ISO-TEX DIAGNOSTICS INC.,FRIENDSWOOD,TX,RESEARCH FACILITY
74-R-0189,39569,SOUND TECHNOLOGIES INC,ARLINGTON,TX,RESEARCH FACILITY
74-R-0190,41027,BIOO SCIENTIFIC CORPORATION,AUSTIN,TX,RESEARCH FACILITY
74-R-0192,42194,THE METHODIST HOSPITAL RESEARCH INSTITUTE,HOUSTON,TX,RESEARCH FACILITY
74-R-0193,41423,INCELL CORPORATION LLC,SAN ANTONIO,TX,RESEARCH FACILITY
74-R-0196,41346,AVATAR WORLDLINK LLC,UNIVERSAL CITY,TX,RESEARCH FACILITY
74-R-0199,321005,BRIDGE PTS,SAN ANTONIO,TX,RESEARCH FACILITY
74-R-0204,326234,THE AUSTIN SAVANNA LLC,BUDA,TX,RESEARCH FACILITY
74-R-0206,325489,WEST TEXAS A & M UNIVERSITY,CANYON,TX,RESEARCH FACILITY
74-R-0210,327559,STEADFAST ENTERPRISES LLC,SEGUIN,TX,RESEARCH FACILITY
74-R-0212,329347,VETERINARY HEALTH SOURCE LLC,CANYON,TX,RESEARCH FACILITY
74-R-0213,28223,AUSTIN COLLEGE,SHERMAN,TX,RESEARCH FACILITY
74-R-0214,1362,QUALITY BIORESOURCES INC,SEGUIN,TX,RESEARCH FACILITY
74-R-0215,1603,PRAIRIE VIEW A & M UNIVERSITY,PRAIRIE VIEW,TX,RESEARCH FACILITY
74-R-0216,321004,THE UNIVERSITY OF TEXAS RIO GRANDE VALLEY,BROWNSVILLE,TX,RESEARCH FACILITY
74-R-0217,333909,TEXAS VET LAB INC.,SAN ANGELO,TX,RESEARCH FACILITY
74-R-0218,326903,TEXAS A & M UNIVERSITY-COMMERCE,COMMERCE,TX,RESEARCH FACILITY
74-R-0219,3880,FORT WORTH ZOOLOGICAL PARK,FORT WORTH,TX,RESEARCH FACILITY
74-R-0220,335142,TRAVIS GLASS,LEXINGTON,TX,RESEARCH FACILITY
74-R-0221,334128,TARLETON STATE UNIVERSITY,STEPHENVILLE,TX,RESEARCH FACILITY
87-R-0001,12,UNIVERSITY OF UTAH,SALT LAKE CITY,UT,RESEARCH FACILITY
87-R-0002,2,UTAH STATE UNIVERSITY,LOGAN,UT,RESEARCH FACILITY
87-R-0003,3,BRIGHAM YOUNG UNIVERSITY,PROVO,UT,RESEARCH FACILITY
87-R-0008,5,WEBER STATE UNIVERSITY,OGDEN,UT,RESEARCH FACILITY
87-R-0021,20654,"C SQUARE EDUCATIONAL ENTERPRISES, INC.",WEST JORDAN,UT,RESEARCH FACILITY
87-R-0022,21308,IBEX PRECLINICAL RESEARCH INC.,LOGAN,UT,RESEARCH FACILITY
87-R-0024,42802,MT. STERLING BIOMEDICAL,PARADISE,UT,RESEARCH FACILITY
52-R-0001,496,BLUE RIDGE COMMUNITY COLLEGE,WEYERS CAVE,VA,RESEARCH FACILITY
52-R-0002,504,COLLEGE OF WILLIAM AND MARY,WILLIAMSBURG,VA,RESEARCH FACILITY
52-R-0003,497,EASTERN VIRGINIA MEDICAL SCHOOL,NORFOLK,VA,RESEARCH FACILITY
52-R-0004,498,GEORGE MASON UNIVERSITY,FAIRFAX,VA,RESEARCH FACILITY
52-R-0009,494,OLD DOMINION UNIVERSITY,NORFOLK,VA,RESEARCH FACILITY
52-R-0011,495,UNIVERSITY OF VIRGINIA,CHARLOTTESVILLE,VA,RESEARCH FACILITY
52-R-0012,492,V A POLYTECHNIC INSTITUTE & STATE UNIVERSITY,BLACKSBURG,VA,RESEARCH FACILITY
52-R-0013,482,WASHINGTON AND LEE UNIVERSITY,LEXINGTON,VA,RESEARCH FACILITY
52-R-0029,483,NORTHERN VIRGINIA COMMUNITY COLLEGE,STERLING,VA,RESEARCH FACILITY
52-R-0111,15804,MARY BALDWIN UNIVERSITY,STAUNTON,VA,RESEARCH FACILITY
52-R-0113,30615,LUNG LLC,BLACKSBURG,VA,RESEARCH FACILITY
52-R-0114,31678,ATSCC,CHESAPEAKE,VA,RESEARCH FACILITY
52-R-0119,40337,AMERICAN TYPE CULTURE COLLECTIONS,MANASSAS,VA,RESEARCH FACILITY
52-R-0121,35737,CHRISTOPHER NEWPORT UNIVERSITY,NEWPORT NEWS,VA,RESEARCH FACILITY
52-R-0122,322381,VXL ENTERPRISES LLC,ALEXANDRIA,VA,RESEARCH FACILITY
52-R-0123,25167,RADFORD UNIVERSITY,RADFORD,VA,RESEARCH FACILITY
52-R-0124,493,VIRGINIA COMMONWEALTH UNIVERSITY,RICHMOND,VA,RESEARCH FACILITY
52-R-0128,328004,OPERATIONAL MEDICINE CONSULTANTS LLC,HENRICO,VA,RESEARCH FACILITY
52-R-0129,327195,TIER ONE QUALITY SOLUTIONS,VIRGINIA BEACH,VA,RESEARCH FACILITY
52-R-0130,330020,JAMES MADISON UNIVERSITY,HARRISONBURG,VA,RESEARCH FACILITY
52-R-0131,330617,GOV SOURCE INCORPORATED,RESTON,VA,RESEARCH FACILITY
52-R-0132,330560,LEGION O T G INC,PARTLOW,VA,RESEARCH FACILITY
13-R-0001,273,UNIVERSITY OF VERMONT,BURLINGTON,VT,RESEARCH FACILITY
13-R-0009,265,VERMONT TECHNICAL COLLEGE,RANDOLPH CENTER,VT,RESEARCH FACILITY
13-R-0010,9011,MIDDLEBURY COLLEGE,MIDDLEBURY,VT,RESEARCH FACILITY
13-R-0011,14681,THE BINDING SITE VT INC,FAIRHAVEN,VT,RESEARCH FACILITY
13-R-0014,45318,CATAMOUNT RESEARCH & DEVELOPMENT INC,SAINT ALBANS,VT,RESEARCH FACILITY
91-R-0001,1016,UNIVERSITY OF WASHINGTON,SEATTLE,WA,RESEARCH FACILITY
91-R-0002,1026,WASHINGTON STATE UNIVERSITY,PULLMAN,WA,RESEARCH FACILITY
91-R-0006,1018,BATTELLE MEMORIAL INSTITUTE,RICHLAND,WA,RESEARCH FACILITY
91-R-0011,1021,JUBILANT HOLLISTER-STIER (J H S),SPOKANE,WA,RESEARCH FACILITY
91-R-0018,1023,PIERCE COLLEGE,LAKEWOOD,WA,RESEARCH FACILITY
91-R-0023,1024,CENTRAL WASHINGTON UNIVERSITY,ELLENSBURG,WA,RESEARCH FACILITY
91-R-0025,1025,FRED HUTCHINSON CANCER RESEARCH CENTER,SEATTLE,WA,RESEARCH FACILITY
91-R-0030,1028,V M R D INC.,PULLMAN,WA,RESEARCH FACILITY
91-R-0043,1036,BIO-RESEARCH LABORATORIES INC.,PRESTON,WA,RESEARCH FACILITY
91-R-0051,1722,YAKIMA VALLEY COLLEGE,YAKIMA,WA,RESEARCH FACILITY
91-R-0053,11124,SNBL USA LTD,EVERETT,WA,RESEARCH FACILITY
91-R-0054,15097,TRIPLE J FARMS & KENT LABS,BELLINGHAM,WA,RESEARCH FACILITY
91-R-0059,1268,SEATTLE CHILDRENS RESEARCH INSTITUTE,SEATTLE,WA,RESEARCH FACILITY
91-R-0061,36846,INFECTIOUS DISEASE RESEARCH INSTITUTE (IDRI),SEATTLE,WA,RESEARCH FACILITY
91-R-0065,44874,OMEROS CORP.,SEATTLE,WA,RESEARCH FACILITY
91-R-0066,45412,R & R RESEARCH LLC,STANWOOD,WA,RESEARCH FACILITY
91-R-0069,12155,DEPLOYMENT MEDICINE INTERNATIONAL,GIG HARBOR,WA,RESEARCH FACILITY
91-R-0070,324734,SEATTLE PACIFIC UNIVERSITY,SEATTLE,WA,RESEARCH FACILITY
91-R-0071,330544,"ZYMOGENETICS, INC",SEATTLE,WA,RESEARCH FACILITY
91-R-0072,331329,PI BIOSCIENTIFIC INC.,SEATTLE,WA,RESEARCH FACILITY
91-R-0073,334416,BELLINGHAM TECHNICAL COLLEGE,BELLINGHAM,WA,RESEARCH FACILITY
91-R-0074,1020,EASTERN WASHINGTON UNIVERSITY,CHENEY,WA,RESEARCH FACILITY
35-R-0001,616,UNIVERSITY OF WISCONSIN MADISON,MADISON,WI,RESEARCH FACILITY
35-R-0004,769,RIDGLAN FARMS INC,MOUNT HOREB,WI,RESEARCH FACILITY
35-R-0009,629,AURORA HEALTH CARE INC,MILWAUKEE,WI,RESEARCH FACILITY
35-R-0010,614,UNIVERSITY OF WISCONSIN-RIVER FALLS,RIVER FALLS,WI,RESEARCH FACILITY
35-R-0014,608,UNIVERSITY OF WISCONSIN-WHITEWATER,WHITEWATER,WI,RESEARCH FACILITY
35-R-0015,611,UNIVERSITY OF WISCONSIN-LA CROSSE,LA CROSSE,WI,RESEARCH FACILITY
35-R-0016,617,MADISON AREA TECHNICAL COLLEGE,MADISON,WI,RESEARCH FACILITY
35-R-0017,612,UNIVERSITY OF WISCONSIN-MILWAUKEE,MILWAUKEE,WI,RESEARCH FACILITY
35-R-0022,641,GUNDERSEN LUTHERAN MEDICAL CENTER,LA CROSSE,WI,RESEARCH FACILITY
35-R-0029,634,MEDICAL COLLEGE OF WISCONSIN,MILWAUKEE,WI,RESEARCH FACILITY
35-R-0030,640,COVANCE LABORATORIES INC,MADISON,WI,RESEARCH FACILITY
35-R-0034,639,GENEVA LABORATORIES INC,ELKHORN,WI,RESEARCH FACILITY
35-R-0111,795,UNIVERSITY OF WISCONSIN-OSHKOSH,OSHKOSH,WI,RESEARCH FACILITY
35-R-0116,13171,GENESIS MIDWEST LLC,NEILLSVILLE,WI,RESEARCH FACILITY
35-R-0119,37011,SURPASS INC,OSCEOLA,WI,RESEARCH FACILITY
35-R-0122,40729,UNITED VACCINES INC,VERONA,WI,RESEARCH FACILITY
35-R-0124,39358,MINITUBE OF AMERICA,VERONA,WI,RESEARCH FACILITY
35-R-0127,323964,SPF NORTH AMERICA INC,MONDOVI,WI,RESEARCH FACILITY
35-R-0130,329834,MILWAUKEE CAREER COLLEGE,MILWAUKEE,WI,RESEARCH FACILITY
35-R-0131,333223,UNIVERSITY OF WISCONSIN-STOUT,MENOMONIE,WI,RESEARCH FACILITY
35-R-0132,335800,COOPERATIVE RESOURCES INTERNATIONAL,SHAWANO,WI,RESEARCH FACILITY
54-R-0001,276,WEST VIRGINIA UNIVERSITY,MORGANTOWN,WV,RESEARCH FACILITY
54-R-0002,277,W V SCHOOL OF OSTEOPATHIC MEDICINE,LEWISBURG,WV,RESEARCH FACILITY
54-R-0003,278,PIERPONT COMMUNITY TECHNICAL COLLEGE,FAIRMONT,WV,RESEARCH FACILITY
54-R-0004,279,MARSHALL UNIVERSITY,HUNTINGTON,WV,RESEARCH FACILITY
54-R-0008,321496,CARVER CAREER CENTER,CHARLESTON,WV,RESEARCH FACILITY
54-R-0009,332788,MOUNTWEST COMMUNITY AND TECHNICAL COLLEGE,HUNTINGTON,WV,RESEARCH FACILITY
83-R-0001,16,UNIVERSITY OF WYOMING,LARAMIE,WY,RESEARCH FACILITY
83-R-0004,17,EASTERN WYOMING COLLEGE,TORRINGTON,WY,RESEARCH FACILITY
83-R-0005,1666,WYOMING GAME & FISH DEPARTMENT,WHEATLAND,WY,RESEARCH FACILITY
96-R-0001,15,UNIVERSITY OF ALASKA FAIRBANKS,FAIRBANKS,AK,RESEARCH FACILITY
96-R-0005,1693,S.A.A.M.S.,SEWARD,AK,RESEARCH FACILITY
96-R-0006,38530,UNIVERSITY OF ALASKA - ANCHORAGE,ANCHORAGE,AK,RESEARCH FACILITY
64-G-0001,334152,AQUATIC ANIMAL HEALTH RESEARCH UNIT,AUBURN,AL,AGRICULTURE RESEARCH FACILITY
64-R-0001,878,SOUTHERN RESEARCH INSTITUTE,BIRMINGHAM,AL,RESEARCH FACILITY
64-R-0002,857,TUSKEGEE UNIVERSITY,TUSKEGEE INST,AL,RESEARCH FACILITY
64-R-0004,832,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,RESEARCH FACILITY
64-R-0005,833,AUBURN UNIVERSITY,AUBURN,AL,RESEARCH FACILITY
64-R-0008,854,UNIVERSITY OF SOUTH ALABAMA,MOBILE,AL,RESEARCH FACILITY
64-R-0009,834,UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,RESEARCH FACILITY
64-R-0018,835,SOUTHERN BIOTECHNOLOGY ASSOCIATES INC,BIRMINGHAM,AL,RESEARCH FACILITY
64-R-0102,928,BLUE RIDGE KENNEL,WETUMPKA,AL,RESEARCH FACILITY
71-G-0003,500501,PPPSR,FAYETTEVILLE,AR,AGRICULTURE RESEARCH FACILITY
71-R-0001,1470,UNIVERSITY OF ARKANSAS,FAYETTEVILLE,AR,RESEARCH FACILITY
71-R-0011,1457,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,LITTLE ROCK,AR,RESEARCH FACILITY
71-R-0012,1456,UNIVERSITY OF ARKANSAS - LITTLE ROCK,LITTLE ROCK,AR,RESEARCH FACILITY
71-R-0100,1408,ARKANSAS CHILDREN'S RESEARCH INSTITUTE,LITTLE ROCK,AR,RESEARCH FACILITY
71-R-0104,8977,UNIVERSITY OF THE OZARKS,CLARKSVILLE,AR,RESEARCH FACILITY
71-R-0106,1419,HENDRIX COLLEGE,CONWAY,AR,RESEARCH FACILITY
71-R-0107,25517,BERTEK INC.,GREENBRIER,AR,RESEARCH FACILITY
71-R-0110,1409,ARKANSAS STATE UNIVERSITY - BEEBE,BEEBE,AR,RESEARCH FACILITY
71-R-0111,41479,TIER 1 GROUP LLC,CRAWFORDSVILLE,AR,RESEARCH FACILITY
71-R-0112,20222,UNIVERSITY OF CENTRAL ARKANSAS,CONWAY,AR,RESEARCH FACILITY
86-R-0002,1043,ARIZONA STATE UNIVERSITY,TEMPE,AZ,RESEARCH FACILITY
86-R-0003,1044,THE UNIVERSITY OF ARIZONA,TUCSON,AZ,RESEARCH FACILITY
86-R-0005,1045,NORTHERN ARIZONA UNIVERSITY,FLAGSTAFF,AZ,RESEARCH FACILITY
86-R-0006,1049,DIGNITY HEALTH,PHOENIX,AZ,RESEARCH FACILITY
86-R-0009,1051,W. L. GORE & ASSOCIATES INC.,FLAGSTAFF,AZ,RESEARCH FACILITY
86-R-0033,15053,PIMA COMMUNITY COLLEGE- EAST CAMPUS,TUCSON,AZ,RESEARCH FACILITY
86-R-0036,34846,MESA COMMUNITY COLLEGE,MESA,AZ,RESEARCH FACILITY
86-R-0039,43543,SENES TECH INC.,FLAGSTAFF,AZ,RESEARCH FACILITY
86-R-0042,329220,PIMA MEDICAL INSTITUTE,TUCSON,AZ,RESEARCH FACILITY
86-R-0043,331699,WESTERN MARICOPA EDUCATION CENTER,GLENDALE,AZ,RESEARCH FACILITY
93-R-0003,1183,SUTTER INSTITUTE FOR MEDICAL RESEARCH,SACRAMENTO,CA,RESEARCH FACILITY
93-R-0004,1190,STANFORD UNIVERSITY,PALO ALTO,CA,RESEARCH FACILITY
93-R-0006,1186,LOMA LINDA UNIVERSITY,LOMA LINDA,CA,RESEARCH FACILITY
93-R-0007,1187,CITY OF HOPE NATIONAL MEDICAL CENTER,DUARTE,CA,RESEARCH FACILITY
